close,co_id,date,difference_percentage,high,low,open,total_trade_count,total_trade_dollar,total_trade_stocks
36.9,1101,100/04/13,0.25,36.9,36.2,36.65,"5,652","790,683,319","21,700,636"
37.7,1101,100/04/14,0.8,38.3,36.9,37.0,"7,665","1,122,960,068","29,646,622"
37.25,1101,100/04/15,-0.45,38.0,37.2,38.0,"3,410","693,224,814","18,504,146"
37.3,1101,100/04/18,0.05,37.6,37.0,37.3,"3,025","694,004,391","18,609,708"
37.55,1101,100/04/19,0.25,37.65,36.6,36.8,"4,171","726,902,510","19,409,627"
40.15,1101,100/04/20,2.6,40.15,38.0,38.1,"12,408","1,889,359,708","47,709,928"
40.35,1101,100/04/21,0.2,41.4,39.9,41.1,"9,783","1,352,209,547","33,416,838"
39.65,1101,100/04/22,-0.7,40.4,39.3,40.4,"5,912","625,638,665","15,726,041"
40.0,1101,100/04/25,0.35,40.4,39.8,39.8,"3,346","415,293,350","10,346,675"
40.35,1101,100/04/26,0.35,40.95,39.75,40.0,"5,110","794,720,669","19,642,366"
42.6,1101,100/04/27,2.25,42.9,40.75,41.0,"11,128","1,690,530,726","40,080,222"
41.55,1101,100/04/28,-1.05,42.9,41.2,42.8,"8,733","1,173,924,320","28,118,723"
41.95,1101,100/04/29,0.4,41.95,40.65,41.5,"6,763","1,041,716,192","25,265,628"
29.45,1101,100/03/01,0.05,29.6,29.35,29.4,"3,975","452,218,611","15,334,511"
29.65,1101,100/03/02,0.2,30.3,29.4,29.45,"3,327","475,257,696","15,894,314"
31.0,1101,100/03/03,1.35,31.25,29.8,29.8,"5,354","547,290,333","17,872,920"
31.35,1101,100/03/04,0.35,31.4,31.0,31.1,"5,007","570,715,852","18,247,391"
31.2,1101,100/03/07,-0.15,31.35,30.8,31.3,"2,550","235,446,597","7,550,566"
31.45,1101,100/03/08,0.25,31.65,31.1,31.1,"3,737","418,413,757","13,293,637"
31.6,1101,100/03/09,0.15,31.65,31.3,31.6,"2,102","247,932,979","7,870,791"
31.4,1101,100/03/10,-0.2,31.6,31.25,31.6,"1,432","135,998,603","4,332,116"
30.95,1101,100/03/11,-0.45,31.2,30.8,30.8,"1,591","133,986,378","4,322,488"
31.75,1101,100/03/14,0.8,33.0,31.55,33.0,"6,656","769,420,062","24,011,361"
30.9,1101,100/03/15,-0.85,31.95,29.7,31.8,"5,263","480,763,585","15,740,510"
31.1,1101,100/03/16,0.2,31.45,30.9,30.9,"3,581","533,115,177","17,057,918"
31.45,1101,100/03/17,0.35,31.65,30.55,30.6,"3,212","290,741,800","9,294,537"
32.1,1101,100/03/18,0.65,32.2,31.35,31.7,"4,585","594,064,779","18,572,160"
32.2,1101,100/03/21,0.1,32.5,31.8,32.2,"3,150","348,991,568","10,807,794"
32.45,1101,100/03/22,0.25,32.5,32.1,32.5,"3,850","403,621,955","12,466,082"
33.45,1101,100/03/23,1.0,33.9,32.45,32.5,"11,873","1,428,785,428","42,969,114"
33.35,1101,100/03/24,-0.1,34.1,33.25,33.9,"5,705","776,942,123","23,068,891"
33.5,1101,100/03/25,0.15,33.85,33.5,33.6,"5,263","684,137,139","20,344,906"
34.0,1101,100/03/28,0.5,34.35,33.55,33.8,"8,747","1,072,312,621","31,432,452"
35.5,1101,100/03/29,1.5,35.75,34.4,34.5,"13,923","1,749,454,936","49,634,213"
36.0,1101,100/03/30,0.5,36.1,35.5,35.8,"10,510","1,381,849,397","38,511,058"
35.5,1101,100/03/31,-0.5,36.2,35.3,36.1,"6,567","884,359,117","24,910,351"
30.15,1101,100/02/08,-1.2,31.5,30.0,31.5,"9,071","1,041,408,336","34,420,197"
30.1,1101,100/02/09,-0.05,30.4,29.95,30.2,"5,382","629,867,427","20,918,272"
29.85,1101,100/02/10,-0.25,30.25,29.7,30.1,"5,417","663,326,388","22,195,172"
29.7,1101,100/02/11,-0.15,30.25,29.7,30.25,"6,857","504,561,450","16,834,620"
29.8,1101,100/02/14,0.1,29.9,29.6,29.9,"4,704","487,786,194","16,381,041"
30.2,1101,100/02/15,0.4,30.4,29.3,29.6,"4,798","652,340,567","21,827,091"
30.2,1101,100/02/16,0.0,30.3,29.9,30.0,"2,896","459,497,629","15,232,366"
30.05,1101,100/02/17,-0.15,30.2,29.8,30.2,"2,712","272,110,974","9,048,892"
30.25,1101,100/02/18,0.2,30.45,30.2,30.4,"2,281","331,723,407","10,940,781"
30.6,1101,100/02/21,0.35,30.85,30.05,30.4,"3,851","457,072,003","14,919,085"
30.0,1101,100/02/22,-0.6,30.2,29.8,30.1,"4,064","470,255,960","15,701,722"
29.55,1101,100/02/23,-0.45,30.1,29.55,29.8,"3,623","361,490,845","12,136,271"
29.35,1101,100/02/24,-0.2,29.95,29.3,29.95,"3,390","410,038,761","13,888,668"
29.4,1101,100/02/25,0.05,29.65,29.35,29.65,"2,689","228,249,018","7,750,979"
33.4,1101,100/01/03,0.6,33.4,32.8,32.95,"5,802","594,959,277","17,962,811"
33.15,1101,100/01/04,-0.25,33.65,33.0,33.6,"3,254","338,514,557","10,168,829"
32.4,1101,100/01/05,-0.75,33.6,32.25,33.5,"4,778","563,348,277","17,142,308"
32.4,1101,100/01/06,0.0,32.6,32.15,32.5,"2,224","240,181,539","7,436,026"
32.1,1101,100/01/07,-0.3,32.5,32.0,32.2,"2,544","315,314,958","9,802,416"
32.45,1101,100/01/10,0.35,32.45,32.05,32.2,"2,224","287,121,184","8,911,315"
32.7,1101,100/01/11,0.25,32.75,32.15,32.5,"2,706","303,609,310","9,330,674"
32.9,1101,100/01/12,0.2,33.2,32.7,33.0,"2,893","490,829,659","14,908,900"
32.85,1101,100/01/13,-0.05,33.2,32.6,33.0,"2,802","393,668,947","11,982,350"
32.75,1101,100/01/14,-0.1,32.9,32.55,32.8,"2,656","342,638,686","10,458,451"
31.7,1101,100/01/17,-1.05,32.5,31.6,32.2,"4,955","559,167,087","17,558,839"
31.35,1101,100/01/18,-0.35,31.5,31.05,31.5,"4,848","441,704,141","14,104,801"
31.75,1101,100/01/19,0.4,31.9,31.2,31.35,"4,047","530,335,798","16,822,915"
31.55,1101,100/01/20,-0.2,31.8,31.5,31.75,"2,399","241,550,196","7,638,702"
31.7,1101,100/01/21,0.15,31.7,31.1,31.3,"3,272","305,866,716","9,728,554"
31.7,1101,100/01/24,0.0,31.9,31.3,31.9,"1,649","170,961,888","5,421,333"
31.5,1101,100/01/25,-0.2,31.85,31.4,31.6,"2,499","257,721,049","8,162,569"
31.55,1101,100/01/26,0.05,31.8,31.45,31.7,"1,853","192,855,363","6,101,671"
31.45,1101,100/01/27,-0.1,31.9,31.45,31.75,"2,947","395,184,299","12,523,905"
31.35,1101,100/01/28,-0.1,31.75,31.25,31.5,"3,470","387,870,572","12,368,325"
32.2,1101, 99/12/01,0.85,32.2,31.35,31.6,"4,233","494,471,885","15,487,481"
32.3,1101, 99/12/02,0.1,32.65,31.95,32.6,"3,583","388,377,567","12,027,566"
32.05,1101, 99/12/03,-0.25,32.4,31.4,32.4,"2,791","331,091,542","10,424,074"
32.0,1101, 99/12/06,-0.05,32.1,31.65,32.05,"3,058","548,603,256","17,183,173"
33.0,1101, 99/12/07,1.0,33.3,31.95,32.0,"6,325","977,213,901","29,847,098"
