time,eps
2019 Q2,0.23
2019 Q1,0.23
2018,1.58
2018 Q3,0.47
2018 Q2,0.42
2018 Q1,0.3
2017,1.09
2017 Q3,0.23
2017 Q2,0.22
2017 Q1,0.24
2016,1.04
2016 Q3,0.43
2016 Q2,0.34
2016 Q1,0.03
2015,0.49
2015 Q3,0.05
2015 Q2,0.18
2015 Q1,0.36
2014,1.43
2014 Q3,0.43
2014 Q2,0.34
2014 Q1,0.24
2013,1.05
2013 Q3,0.25
2013 Q2,0.32
2013 Q1,0.25
