time,eps
2019 Q2,5.24
2019 Q1,5.05
2018,19.63
2018 Q3,4.68
2018 Q2,6.13
2018 Q1,3.7
2017,22.14
2017 Q3,5.64
2017 Q2,6.1
2017 Q1,4.81
2016,15.44
2016 Q3,3.1
2016 Q2,4.38
2016 Q1,3.64
2015,13.89
2015 Q3,2.85
2015 Q2,4.62
2015 Q1,3.42
2014,21.75
2014 Q3,4.81
2014 Q2,4.27
2014 Q1,3.99
2013,24.33
2013 Q3,6.59
2013 Q2,5.93
