time,eps
2019 Q2,1.41
2019 Q1,0.77
2018,4.37
2018 Q3,1.2
2018 Q2,1.51
2018 Q1,0.69
2017,2.03
2017 Q3,0.53
2017 Q2,0.58
2017 Q1,0.23
2016,1.72
2016 Q3,0.63
2016 Q2,0.54
2016 Q1,0.06
2015,1.56
2015 Q3,0.26
2015 Q2,0.61
2015 Q1,0.22
2014,2.93
2014 Q3,0.87
2014 Q2,0.86
2014 Q1,0.5
2013,2.72
2013 Q3,0.97
2013 Q2,0.7
2013 Q1,0.38
