time,eps
2019 Q2,0.99
2019 Q1,1.46
2018,8.36
2018 Q3,3.39
2018 Q2,2.45
2018 Q1,2.22
2017,9.33
2017 Q3,3.1
2017 Q2,1.45
2017 Q1,2.0
2016,7.5
2016 Q3,2.56
2016 Q2,2.27
2016 Q1,1.16
2015,4.72
2015 Q3,1.34
2015 Q2,2.09
2015 Q1,0.25
2014,1.8
2014 Q3,1.27
2014 Q2,0.6
2014 Q1,0.97
2013,4.25
2013 Q3,1.61
2013 Q2,0.7
2013 Q1,1.43
