time,eps
2019 Q2,0.70
2019 Q1,0.40
2018,2.41
2018 Q3,0.7
2018 Q2,0.98
2018 Q1,0.49
2017,1.61
2017 Q3,0.72
2017 Q2,0.31
2017 Q1,0.26
2016,1.26
2016 Q3,0.27
2016 Q2,0.34
2016 Q1,0.17
2015,1.61
2015 Q3,0.15
2015 Q2,0.73
2015 Q1,0.54
2014,2.25
2014 Q3,0.59
2014 Q2,0.92
2014 Q1,0.39
2013,1.5
2013 Q3,0.33
2013 Q2,0.43
2013 Q1,0.37
