time,cash,stock
2019 Q2,2.5,0.0
2019 Q1,2.0,0.0
2018,8.0,0.0
2017,8.0,0.0
2016,7.0,0.0
2015,6.0,0.0
2014,4.49987539,0.0
2013,3.0,0.0
