time,eps
2019 Q2,1.97
2019 Q1,0.93
2018,3.54
2018 Q3,0.98
2018 Q2,1.38
2018 Q1,0.6
2017,1.74
2017 Q3,0.61
2017 Q2,0.51
2017 Q1,0.08
2016,1.26
2016 Q3,0.3
2016 Q2,0.38
2016 Q1,0.06
2015,1.55
2015 Q3,0.02
2015 Q2,0.94
2015 Q1,0.47
2014,2.98
2014 Q3,0.64
2014 Q2,1.21
2014 Q1,0.47
2013,2.21
2013 Q3,0.34
2013 Q2,0.83
2013 Q1,0.4
