time,eps
2019 Q2,1.02
2019 Q1,0.93
2018,3.07
2018 Q3,0.89
2018 Q2,0.97
2018 Q1,0.75
2017,7.01
2017 Q3,1.01
2017 Q2,0.83
2017 Q1,0.79
2016,2.56
2016 Q3,0.73
2016 Q2,0.84
2016 Q1,0.76
2015,2.48
2015 Q3,0.68
2015 Q2,0.81
2015 Q1,0.79
2014,2.04
2014 Q3,0.35
2014 Q2,0.6
2014 Q1,0.81
2013,2.48
2013 Q3,0.87
2013 Q2,0.59
2013 Q1,0.75
