at,cash,co_id,stock,time
108/03/26,0.45,2845,0.265,2018
nan,0.439,2845,0.271,2017
nan,0.42,2845,0.23,2016
nan,0.4,2845,0.2,2015
nan,0.4,2845,0.537,2014
nan,0.25,2845,0.449,2013
nan,0.23,2845,0.493,2012
nan,0.25,2845,0.534,2011
nan,0.25,2845,0.515,2010
