cash,co_id,stock,time
68.0,3008,0.0,2018
72.5,3008,0.0,2017
63.5,3008,0.0,2016
63.5,3008,0.0,2015
51.0,3008,0.0,2014
28.5,3008,0.0,2013
17.0,3008,0.0,2012
17.0,3008,0.0,2011
13.5,3008,0.0,2010
