cash,co_id,stock,time
2.0,5876,0.0,2018
1.8,5876,0.0,2017
1.5,5876,0.0,2016
1.5,5876,0.2,2015
1.5,5876,0.5,2014
1.5,5876,0.25,2013
1.5,5876,0.0,2012
