at,cash,co_id,stock,time
108/03/27,3.4,6024,0.0,2018
nan,2.87,6024,0.0,2017
nan,2.21,6024,0.0,2016
nan,2.47,6024,0.0,2015
nan,1.5,6024,0.2,2014
nan,1.49300384,6024,0.0,2013
nan,0.89,6024,0.85,2012
nan,2.3,6024,0.0,2011
nan,0.1,6024,0.9,2010
