cash,co_id,stock,time
0.245,2883,0.0,2018
0.6,2883,0.0,2017
0.5,2883,0.0,2016
0.5,2883,0.0,2015
0.6,2883,0.0,2014
0.4,2883,0.0,2013
0.18,2883,0.0,2012
0.0,2883,0.0,2011
0.59181,2883,0.09863,2010
