at,cash,co_id,stock,time
108/03/21,0.11,2836,0.155,2018
nan,0.13,2836,0.2,2017
nan,0.386,2836,0.0,2016
nan,0.03,2836,0.52,2015
nan,0.03,2836,0.47,2014
nan,0.02,2836,0.06,2013
nan,0.02,2836,0.18,2012
nan,0.0,2836,0.0,2011
nan,0.02,2836,0.15,2010
