at,cash,co_id,stock,time
108/02/26,0.79,2820,0.0,2018
nan,0.71,2820,0.0,2017
nan,0.84,2820,0.0,2016
nan,0.83,2820,0.0,2015
nan,0.72,2820,0.0,2014
nan,0.7,2820,0.0,2013
nan,0.8,2820,0.0,2012
nan,1.5,2820,0.0,2011
nan,0.81,2820,0.0,2010
