cash,co_id,stock,time
4.8,6505,0.0,2018
6.3,6505,0.0,2017
6.0,6505,0.0,2016
4.0,6505,0.0,2015
0.85,6505,0.0,2014
2.5,6505,0.0,2013
0.26,6505,0.0,2012
2.0,6505,0.0,2011
3.9,6505,nan,2010
