time,eps
2019 Q2,0.39
2019 Q1,0.41
2018,1.73
2018 Q3,0.71
2018 Q2,0.42
2018 Q1,0.3
2017,1.35
2017 Q3,0.73
2017 Q2,0.18
2017 Q1,0.22
2016,2.75
2016 Q3,0.59
2016 Q2,1.68
2016 Q1,0.22
2015,1.54
2015 Q3,0.72
2015 Q2,0.38
2015 Q1,0.31
2014,0.98
2014 Q3,0.49
2014 Q2,0.13
2014 Q1,0.16
2013,0.64
2013 Q3,0.49
2013 Q2,-0.97
2013 Q1,0.19
