time,eps
2019 Q2,0.46
2019 Q1,0.24
2018,1.62
2018 Q3,0.53
2018 Q2,0.63
2018 Q1,0.01
2017,2.16
2017 Q3,0.53
2017 Q2,0.6
2017 Q1,0.45
2016,2.68
2016 Q3,0.56
2016 Q2,0.81
2016 Q1,0.55
2015,2.22
2015 Q3,0.48
2015 Q2,0.56
2015 Q1,0.43
2014,2.26
2014 Q3,0.58
2014 Q2,0.73
2014 Q1,0.4
2013,1.84
2013 Q3,0.39
2013 Q2,0.56
2013 Q1,0.3
