time,eps
2019 Q2,(0.24)
2019 Q1,(0.16)
2018,-1.58
2018 Q3,-0.07
2018 Q2,0.01
2018 Q1,0.03
2017,0.04
2017 Q3,0.21
2017 Q2,-0.1
2017 Q1,0.09
2016,0.27
2016 Q3,0.12
2016 Q2,0.13
2016 Q1,0.1
2015,0.32
2015 Q3,0.35
2015 Q2,0.0
2015 Q1,0.22
2014,0.22
2014 Q3,0.29
2014 Q2,-0.01
2014 Q1,0.07
2013,0.32
2013 Q3,0.41
2013 Q2,-0.1
2013 Q1,0.17
