co_id,eps,time
2881,1.48,2019 Q2
2881,1.22,2019 Q1
2881,4.52,2018
2881,1.86,2018 Q3
2881,1.3,2018 Q2
2881,1.61,2018 Q1
2881,5.19,2017
2881,2.5,2017 Q3
2881,0.76,2017 Q2
2881,0.97,2017 Q1
2881,4.73,2016
2881,1.62,2016 Q3
2881,1.46,2016 Q2
2881,0.86,2016 Q1
2881,6.21,2015
2881,1.57,2015 Q3
2881,2.15,2015 Q2
2881,1.96,2015 Q1
2881,5.89,2014
2881,2.46,2014 Q3
2881,1.32,2014 Q2
2881,1.35,2014 Q1
2881,3.31,2013
2881,0.88,2013 Q3
2881,0.81,2013 Q2
2881,1.06,2013 Q1
