time,eps
2019 Q2,1.46
2019 Q1,0.90
2018,3.55
2018 Q3,0.9
2018 Q2,0.48
2018 Q1,0.98
2017,5.35
2017 Q3,1.19
2017 Q2,1.17
2017 Q1,1.53
2016,4.71
2016 Q3,1.13
2016 Q2,1.08
2016 Q1,0.95
2015,2.57
2015 Q3,0.72
2015 Q2,0.42
2015 Q1,0.72
2014,3.21
2014 Q3,0.69
2014 Q2,0.78
2014 Q1,0.87
2013,1.95
2013 Q3,0.7
2013 Q2,0.06
2013 Q1,0.31
