co_id,eps,time
2409,(0.28),2019 Q2
2409,(0.38),2019 Q1
2409,1.06,2018
2409,0.45,2018 Q3
2409,0.13,2018 Q2
2409,0.45,2018 Q1
2409,3.36,2017
2409,0.92,2017 Q3
2409,1.02,2017 Q2
2409,0.98,2017 Q1
2409,0.81,2016
2409,0.51,2016 Q3
2409,-0.06,2016 Q2
2409,-0.57,2016 Q1
2409,0.51,2015
2409,0.36,2015 Q3
2409,0.47,2015 Q2
2409,0.54,2015 Q1
2409,1.83,2014
2409,0.76,2014 Q3
2409,0.42,2014 Q2
2409,0.03,2014 Q1
2409,0.45,2013
2409,0.26,2013 Q3
2409,0.42,2013 Q2
2409,-0.36,2013 Q1
