time,eps
2019 Q2,(0.48)
2019 Q1,0.08
2018,0.12
2018 Q3,-0.17
2018 Q2,-0.47
2018 Q1,0.31
2017,0.05
2017 Q3,0.13
2017 Q2,-0.31
2017 Q1,-0.07
2016,0.69
2016 Q3,0.15
2016 Q2,-0.37
2016 Q1,0.3
2015,0.94
2015 Q3,0.09
2015 Q2,-0.23
2015 Q1,0.67
2014,1.55
2014 Q3,0.11
2014 Q2,0.87
2014 Q1,0.21
2013,1.26
2013 Q3,0.02
2013 Q2,-0.12
2013 Q1,0.58
