time,eps
2019 Q2,0.14
2019 Q1,0.05
2018,0.53
2018 Q3,0.09
2018 Q2,0.14
2018 Q1,0.18
2017,0.44
2017 Q3,0.19
2017 Q2,0.13
2017 Q1,0.05
2016,0.93
2016 Q3,0.23
2016 Q2,0.31
2016 Q1,0.19
2015,0.67
2015 Q3,0.32
2015 Q2,0.17
2015 Q1,-0.01
2014,0.3
2014 Q3,0.1
2014 Q2,0.11
2014 Q1,0.12
2013,0.32
2013 Q3,0.19
2013 Q2,0.04
2013 Q1,0.12
